x,y
0.0,0.05766533654591484
0.05,0.08918604840928487
0.1,-0.038013382947484686
0.15000000000000002,-0.10464222735906241
0.2,0.007980504300547683
0.25,-0.09523067039937233
0.30000000000000004,-0.06988829636770715
0.35000000000000003,-0.12075457858566162
0.4,-0.11362153430199011
0.45,-0.22431859672488902
0.5,-0.29299896212202825
0.55,-0.34821341897871166
0.6000000000000001,-0.4444879255075856
0.65,-0.4696196832719849
0.7000000000000001,-0.5434572118792549
0.75,-0.6706599936849529
0.8,-0.7042092447351613
0.8500000000000001,-0.8980508880102616
0.9,-1.0075676409643535
0.9500000000000001,-1.0018888726293473
1.0,-1.183004890904752
1.05,-1.4077711474445473
1.1,-1.54638381067662
1.1500000000000001,-1.6641748721470766
1.2000000000000002,-1.8918112177189073
1.25,-1.9729188197286036
1.3,-2.1556776281280405
1.35,-2.3403193091435015
1.4000000000000001,-2.5883040482303716
1.4500000000000002,-2.767264051839857
1.5,-2.9853568311605376
1.55,-3.190482674472808
1.6,-3.432020673826422
1.6500000000000001,-3.6953303126573642
1.7000000000000002,-3.9479701964927596
1.75,-4.0544182994143805
1.8,-4.329813082666463
1.85,-4.525571070696126
1.9000000000000001,-4.8051968102895595
1.9500000000000002,-5.089688082434082
2.0,-5.227613639284958
2.0500000000000003,-5.47901694145391
2.1,-5.694799277918192
2.15,-5.8354916557364795
2.2,-6.002168159910115
2.25,-6.266723197935327
2.3000000000000003,-6.298051930086322
2.35,-6.35778882889537
2.4000000000000004,-6.444454359843294
2.45,-6.5572238977888615
2.5,-6.678657200974038
2.5500000000000003,-6.717103996178923
2.6,-6.702230292564036
2.6500000000000004,-6.915405519654084
2.7,-6.838067837493134
2.75,-6.949813330294085
2.8000000000000003,-6.976032112874053
2.85,-6.955653584294506
2.9000000000000004,-7.003178799114252
2.95,-7.039566487991015
3.0,-6.91798712146286
3.0500000000000003,-7.009264156736351
3.1,-7.059034888139027
3.1500000000000004,-7.210555088489818
3.2,-7.14473646231631
3.25,-7.171709714872475
3.3000000000000003,-7.323440834427431
3.35,-7.3613628372419795
3.4000000000000004,-7.5064732791863955
3.45,-7.471603069649245
3.5,-7.506949599433002
3.5500000000000003,-7.5486930387280555
3.6,-7.716603200851515
3.6500000000000004,-7.682148200508575
3.7,-7.881439964339095
3.75,-7.986013829597461
3.8000000000000003,-7.934254431321683
3.85,-7.970905685922748
3.9000000000000004,-8.01007281513214
3.95,-7.97256976896234
4.0,-8.008125134865384
4.05,-7.902090172284389
4.1000000000000005,-7.9490347494654685
4.15,-8.004788740820247
4.2,-7.856461019797791
4.25,-7.744058775747677
4.3,-7.74691631766605
4.3500000000000005,-7.516687083625149
4.4,-7.481373669857808
4.45,-7.285677955869136
4.5,-7.293059685245944
4.55,-7.038753186611738
4.6000000000000005,-6.9149815449585255
4.65,-6.720719799421768
4.7,-6.53824972973743
4.75,-6.366720506697332
4.800000000000001,-6.205711853062794
4.8500000000000005,-6.01222352444623
